County,Year,Month-Year,Pack,State Bottle Cost,State Bottle Retail,Bottles Sold Per Capita,Alcohol Expense Per Capita,Volume Sold (Gallons) Per Capita,Category Name_100 PROOF VODKA,Category Name_AMERICAN ALCOHOL,Category Name_AMERICAN AMARETTO,Category Name_AMERICAN COCKTAILS,Category Name_AMERICAN DRY GINS,Category Name_AMERICAN GRAPE BRANDIES,Category Name_AMERICAN SLOE GINS,Category Name_APPLE SCHNAPPS,Category Name_APRICOT BRANDIES,Category Name_BARBADOS RUM,Category Name_BLACKBERRY BRANDIES,Category Name_BLENDED WHISKIES,Category Name_BOTTLED IN BOND BOURBON,Category Name_BUTTERSCOTCH SCHNAPPS,Category Name_CANADIAN WHISKIES,Category Name_CHERRY BRANDIES,Category Name_CINNAMON SCHNAPPS,Category Name_COFFEE LIQUEURS,Category Name_CREAM LIQUEURS,Category Name_DARK CREME DE CACAO,Category Name_DECANTERS & SPECIALTY PACKAGES,Category Name_DISTILLED SPIRITS SPECIALTY,Category Name_FLAVORED GINS,Category Name_FLAVORED RUM,Category Name_GRAPE SCHNAPPS,Category Name_GREEN CREME DE MENTHE,Category Name_IMPORTED AMARETTO,Category Name_IMPORTED DRY GINS,Category Name_IMPORTED GRAPE BRANDIES,Category Name_IMPORTED SCHNAPPS,Category Name_IMPORTED VODKA,Category Name_IMPORTED VODKA - MISC,Category Name_IRISH WHISKIES,Category Name_JAMAICA RUM,Category Name_MISC. AMERICAN CORDIALS & LIQUEURS,Category Name_MISC. IMPORTED CORDIALS & LIQUEURS,Category Name_MISCELLANEOUS SCHNAPPS,Category Name_OTHER PROOF VODKA,Category Name_PEACH SCHNAPPS,Category Name_PEPPERMINT SCHNAPPS,Category Name_PUERTO RICO & VIRGIN ISLANDS RUM,Category Name_RASPBERRY SCHNAPPS,Category Name_SCOTCH WHISKIES,Category Name_SINGLE MALT SCOTCH,Category Name_SPEARMINT SCHNAPPS,Category Name_SPICED RUM,Category Name_STRAIGHT BOURBON WHISKIES,Category Name_STRAIGHT RYE WHISKIES,Category Name_TENNESSEE WHISKIES,Category Name_TEQUILA,Category Name_TRIPLE SEC,Category Name_VODKA 80 PROOF,Category Name_VODKA FLAVORED,Category Name_WATERMELON SCHNAPPS,Category Name_WHISKEY LIQUEUR,Category Name_WHITE CREME DE CACAO,"Vendor Name_Bacardi U.S.A., Inc.",Vendor Name_Brown-Forman Corporation,Vendor Name_Campari(skyy),"Vendor Name_Cedar Ridge Vineyards,LLC","Vendor Name_Charles Jacquin Et. Cie., Inc.",Vendor Name_Charles Jacquin/Independent Spirits,"Vendor Name_Constellation Wine Company, Inc.",Vendor Name_Dehner Distillery,Vendor Name_Diageo Americas,Vendor Name_Disaronno International LLC,Vendor Name_E AND J GALLO WINERY,Vendor Name_Fifth Generation Inc.,Vendor Name_Gemini Spirits,Vendor Name_Heaven Hill Brands,"Vendor Name_Hood River Distillers, Inc.",Vendor Name_Iowa Distilling Company,Vendor Name_Jim Beam Brands,Vendor Name_Laird And Company,Vendor Name_Luxco-St Louis,Vendor Name_MHW Ltd,"Vendor Name_Mango Bottling, Inc.",Vendor Name_Mccormick Distilling Company,Vendor Name_Mississippi River Distilling Co.,"Vendor Name_Moet Hennessy USA, Inc.",Vendor Name_Pernod Ricard USA/Austin Nichols,Vendor Name_Phillips Beverage Company,Vendor Name_Piedmont Distillers,Vendor Name_Prestige Wine and Spirits Group,Vendor Name_Proximo,Vendor Name_REMY COINTREAU USA         .,"Vendor Name_Sazerac Co., Inc.",Vendor Name_Sazerac North America,Vendor Name_Shaw Ross International Importers LL,Vendor Name_Sidney Frank Importing Co.,Vendor Name_Stoli Group,Vendor Name_The Patron Spirits Company,"Vendor Name_WILLIAM GRANT AND SONS, INC.",Vendor Name_Western Spirits Beverage Co. LLC,Vendor Name_Wilson Daniels Ltd.,Population,Income Per Capita
Black Hawk,2012,01-2012,30,16.87,25.32,6.82448930071733e-05,0.0008658002092843386,2.327909128133578e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131878,38849
Black Hawk,2012,02-2012,12,8.39,12.59,1.5165531779371844e-05,0.0001909340451022915,4.0188659215335385e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131878,38849
Black Hawk,2012,03-2012,30,12.43,18.63,0.00022748297669057766,0.0012516113377515582,3.90512443318825e-05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131878,38849
Black Hawk,2012,04-2012,12,7.4,11.1,3.033106355874369e-05,0.00033667480550205495,8.037731843067077e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131878,38849
Black Hawk,2012,05-2012,10,7.92,11.88,7.582765889685922e-06,9.008325876946875e-05,1.2132425423497476e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131878,38849
Black Hawk,2012,08-2012,6,7.3,10.95,4.549659533811553e-05,0.0004981877189523651,2.1004261514430002e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131878,38849
Black Hawk,2012,10-2012,24,1.79,2.68,0.00018198638135246212,0.00048772350202459845,9.630112679901121e-06,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131878,38849
Black Hawk,2012,11-2012,16,17.86,26.799999999999997,4.549659533811553e-05,0.0006627337387585495,1.5241359438268705e-05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131878,38849
Black Hawk,2012,12-2012,12,14.17,21.25,4.549659533811553e-05,0.000966802650934955,9.023491408726246e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131878,38849
Black Hawk,2015,01-2015,24,57.25,85.88,3.739687810861549e-05,0.0013828617587003835,7.4045818655058675e-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133701,40664
